filename: us.koller.cameraroll.debug-v1.0.4.log
leak-2066: yes
leak-950: yes
leak-353: yes
leak-213: yes
leak-2559: yes
leak-654: yes
leak-3075: yes
leak-3029: yes
leak-669: yes
leak-1763: yes
leak-694: yes
leak-967: yes
leak-2574: yes
leak-319: yes
leak-389: yes
leak-229: yes
leak-1236: yes
leak-1540: yes
leak-463: yes
leak-1722: yes
leak-440: yes
leak-525: yes
leak-404: yes
leak-3019: yes
leak-418: yes
leak-2555: yes
leak-856: yes
leak-587: yes
leak-3039: yes
leak-951: yes
leak-355: yes
leak-1521: yes
leak-426: yes
leak-974: yes
leak-679: yes
leak-1467: yes
leak-342: yes
leak-1923: yes
leak-1813: yes
leak-705: yes
leak-971: yes
leak-553: yes
leak-318: yes
leak-340: yes
leak-344: yes
leak-2846: yes
leak-1825: yes
leak-1697: yes
leak-187: yes
leak-1932: yes
leak-1714: yes
leak-970: yes
leak-1229: yes
leak-339: yes
leak-979: yes
leak-975: yes
leak-953: yes
leak-1900: yes
leak-444: yes
leak-1782: yes
leak-1582: yes
leak-366: yes
leak-1535: yes
leak-1500: yes
leak-1801: yes
leak-2858: yes
leak-495: yes
leak-341: yes
leak-1835: yes
leak-3021: yes
leak-37: yes
leak-3014: yes
leak-388: yes
leak-31: yes
leak-411: yes
leak-28: yes
leak-509: yes
leak-1041: yes
leak-1527: yes
leak-1926: yes
leak-1888: yes
leak-508: yes
leak-684: yes
leak-981: yes
leak-32: yes
leak-3015: yes
leak-661: yes
leak-955: yes
leak-1821: yes
leak-1834: yes
leak-364: yes
leak-1248: yes
leak-604: yes
leak-1790: yes
leak-383: yes
leak-965: yes
leak-1902: yes
leak-1502: yes
leak-382: yes
leak-1584: yes
leak-980: yes
leak-857: yes
leak-386: yes
leak-1581: yes
leak-1712: yes
leak-1524: yes
leak-3026: yes
leak-3155: yes
leak-496: yes
leak-2061: yes
leak-1243: yes
leak-1493: yes
leak-1495: yes
leak-2842: yes
leak-1713: yes
leak-1031: yes
leak-956: yes
leak-1477: yes
leak-1794: yes
leak-607: yes
leak-1233: yes
leak-612: yes
leak-1574: yes
leak-1483: yes
leak-1692: yes
leak-3037: yes
leak-1750: yes
leak-328: yes
leak-554: yes
leak-1534: yes
leak-1909: yes
leak-1799: yes
leak-370: yes
leak-1789: yes
leak-2557: yes
leak-584: yes
leak-1804: yes
leak-1768: yes
leak-379: yes
leak-3038: yes
leak-1831: yes
leak-209: yes
leak-35: yes
leak-1933: yes
leak-1669: yes
leak-218: yes
leak-2058: yes
leak-511: yes
leak-624: yes
leak-1770: yes
leak-3004: yes
total leaks: 30545 unique leaks: 598 unique leaks in both logs: 598 anomalous leak count: 0
