filename: us.koller.cameraroll.debug-v1.0.4.log
leak-898: yes
leak-2499: yes
leak-920: yes
leak-2641: yes
leak-639: yes
leak-1334: yes
leak-336: yes
leak-608: yes
leak-162: yes
leak-557: yes
leak-1297: yes
leak-858: yes
leak-861: yes
leak-545: yes
leak-296: yes
leak-1586: yes
leak-26: yes
leak-885: yes
leak-911: yes
leak-1337: yes
leak-471: yes
leak-463: yes
leak-895: yes
leak-2642: yes
leak-487: yes
leak-1386: yes
leak-377: yes
leak-1543: yes
leak-849: yes
leak-334: yes
leak-558: yes
leak-1813: yes
leak-620: yes
leak-420: yes
leak-1462: yes
leak-376: yes
leak-617: yes
leak-417: yes
leak-2632: yes
leak-460: yes
leak-19: yes
leak-527: yes
leak-310: yes
total leaks: 30691 unique leaks: 508 unique leaks in both logs: 508 anomalous leak count: 0
